User Location,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count
"Kansas City, Missouri",1,1,1,1,1,1,1,1,1,1
"Kansas City, Mo.",1,1,1,1,1,1,1,1,1,1
"Kansas, USA",1,1,1,1,1,1,1,1,1,1
Katy Texas,2,2,2,2,2,2,2,2,2,2
"Katy, TX",2,2,2,2,2,2,2,2,2,2
Kennesaw GA,1,1,1,1,1,1,1,1,1,1
Kennewick WA,1,1,1,1,1,1,1,1,1,1
"Kentucky, USA",1,1,1,1,1,1,1,1,1,1
"Kentucky, USA   Vote Blue KY ",1,1,1,1,1,1,1,1,1,1
"Kigali, Rwanda",2,2,2,2,2,2,2,2,2,2
"Kingston, Ontario",1,1,1,1,1,1,1,1,1,1
"Kingwood,Tx ",1,1,1,1,1,1,1,1,1,1
